TopicID,RefinedTopicID,OriginalAutoCoherence,OriginalSubjClarity,OriginalSubjConsistency,OriginalSubjCorrelation,OriginalDocIntrDLO,OriginalDocIntrPercent,FreqAddWords,FreqRemoveWords,FreqRemoveArticles,FreqMergeWords,FreqSplitTheme,FreqChangeWordOrder,RefinedWordLength,RefinedDocumentLength,RefinedAutoCoherence,RefindSubjClarity,RefinedSubjConsistency,RefinedSubjCorrelation,RefinedDocIntrDLO,RefinedDocIntrPercent,Duration
11,5,0.11,4,4,4,0.0,1.0,0,0,5,1,1,3,21,37,0.13333333333333333,4,4,4,-3.0499852736966231,0.6,278
11,6,0.11,4,4,4,0.0,1.0,0,0,2,2,0,2,22,38,0.13333333333333333,5,4,5,0.0,1.0,203
11,7,0.11,4,4,4,0.0,1.0,0,0,2,0,0,0,17,38,0.10588235294117647,4,4,4,0.0,1.0,117
11,8,0.11,3,4,4,0.0,1.0,1,1,0,3,0,3,14,40,0.7,4,4,4,0.0,1.0,165
12,0,0.09,5,3,5,0.0,1.0,0,0,21,2,0,8,17,35,0.14666666666666667,5,4,5,0.0,1.0,355
12,1,0.09,4,4,4,0.0,1.0,0,0,1,2,0,8,15,39,0.08571428571428572,4,4,4,0.0,1.0,905
12,2,0.09,5,5,5,0.0,1.0,2,2,0,4,0,13,24,40,0.047619047619047616,5,5,5,0.0,1.0,165
12,3,0.09,4,4,4,0.0,1.0,2,2,6,0,0,0,21,34,0.08181818181818182,4,4,4,0.0,1.0,190
12,4,0.09,4,4,5,0.0,1.0,1,1,18,0,0,12,17,26,0.12941176470588237,4,5,5,0.0,1.0,452
12,5,0.09,3,3,3,0.0,1.0,0,0,15,0,0,0,11,25,0.18181818181818182,4,4,4,0.0,1.0,131
12,6,0.09,4,4,4,0.0,1.0,0,0,2,0,0,5,15,38,0.14666666666666667,4,4,4,0.0,1.0,195
12,7,0.09,4,4,4,0.0,1.0,0,0,4,0,0,0,19,36,0.0736842105263158,5,5,5,-1.527070895651917,0.8,233
12,8,0.09,3,3,4,0.0,1.0,0,0,0,1,0,3,14,40,0.07142857142857144,3,3,4,-1.6960316907311941,0.8,202
13,0,0.08,5,2,5,0.0,1.0,2,2,8,0,0,4,19,34,0.11111111111111112,5,4,5,-1.3430410868429872,0.8,258
13,1,0.08,4,4,4,0.0,1.0,12,12,4,9,0,16,22,36,0.03636363636363636,5,5,5,-1.3011658461453937,0.8,1806
